"DisplayName","Name","Status","StartType"
"Bluetooth Audio Gateway Service","BTAGService","Stopped","Manual"
"Bluetooth Support Service","bthserv","Stopped","Manual"
"Computer Browser","Browser","Running","Manual"
"Downloaded Maps Manager","MapsBroker","Stopped","Automatic"
"Geolocation Service","lfsvc","Running","Manual"
"Infrared monitor service","irmon","Stopped","Manual"
"Internet Connection Sharing (ICS)","SharedAccess","Stopped","Manual"
"Link-Layer Topology Discovery Mapper","lltdsvc","Stopped","Manual"
"Microsoft iSCSI Initiator Service","MSiSCSI","Stopped","Manual"
"Microsoft Store Install Service","InstallService","Stopped","Manual"
"Peer Name Resolution Protocol","PNRPsvc","Stopped","Manual"
"Peer Networking Grouping","p2psvc","Stopped","Manual"
"Peer Networking Identity Manager","p2pimsvc","Stopped","Manual"
"PNRP Machine Name Publication Service","PNRPAutoReg","Stopped","Manual"
"Problem Reports and Solutions Control Panel Support","wercplsupport","Stopped","Manual"
"Remote Access Auto Connection Manager","RasAuto","Stopped","Manual"
"Remote Desktop Configuration","SessionEnv","Running","Manual"
"Remote Desktop Services","TermService","Running","Manual"
"Remote Desktop Services UserMode Port Redirector","UmRdpService","Running","Manual"
"Remote Procedure Call (RPC) Locator","RpcLocator","Stopped","Manual"
"Server","LanmanServer","Running","Automatic"
"SSDP Discovery","SSDPSRV","Running","Manual"
"UPnP Device Host","upnphost","Stopped","Manual"
"Windows Error Reporting Service","WerSvc","Stopped","Manual"
"Windows Event Collector","Wecsvc","Stopped","Manual"
"Windows Media Player Network Sharing Service","WMPNetworkSvc","Stopped","Manual"
"Windows Mobile Hotspot Service","icssvc","Stopped","Manual"
"Windows Push Notifications System Service","WpnService","Running","Automatic"
"Windows PushToInstall Service","PushToInstall","Stopped","Manual"
"Windows Remote Management (WS-Management)","WinRM","Stopped","Manual"
"Xbox Accessory Management Service","XboxGipSvc","Stopped","Manual"
"Xbox Live Auth Manager","XblAuthManager","Stopped","Manual"
"Xbox Live Game Save","XblGameSave","Stopped","Manual"
"Xbox Live Networking Service","XboxNetApiSvc","Stopped","Manual"
